condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align010,0.1,9,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8854946025980092,0.5164363476582324,0.7569369146687623,0.5729534927882652,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align010,0.1,9,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8831089290661008,0.5246078825313173,0.7714441896604514,0.5951261377608704,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,0,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8705446870639892,0.502796312140747,0.7608215257401493,0.5788493940295687,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,0,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8979322633709574,0.4995574586964549,0.7536832462372088,0.5680384356586572,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,0,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8431571107570209,0.5060351655850392,0.767893451203017,0.5896603524004802,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,1,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9535209787388716,0.5064930305850538,0.7663690135549905,0.5873214649372493,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,1,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9610768800473882,0.5036066999488967,0.7581510129580442,0.5747929584493084,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,1,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9459650774303551,0.5093793612212109,0.7744998201582685,0.5998499714251901,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,2,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9353835885324462,0.48160543741424616,0.7159568271231641,0.5125941783042682,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,2,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.942466091385869,0.49205744975448334,0.7227914674485688,0.5224275054164554,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,2,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9283010856790235,0.4711534250740089,0.7090563103111635,0.5027608511920809,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,3,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,1.0603993303592214,0.5834994076577656,0.8346351924227193,0.6966159044305098,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,3,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0552079346625864,0.5877552891341339,0.8330785654971784,0.6940198962908365,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,3,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0655907260558564,0.5792435261813973,0.8361889215782419,0.6992119125701832,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,4,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8733908139955352,0.5541607876814647,0.8300871274040089,0.6890446390818393,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,4,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8816123454417226,0.5548507622708726,0.8287536085505884,0.686832543685622,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,4,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8651692825493477,0.5534708130920568,0.8314185074185303,0.6912567344780567,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,5,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9450528213131054,0.5325123158180838,0.7649422386528342,0.5851366284752095,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
